image_sha256,source_file,row_index,categories,annotations_identical,label_conflict
18936adcd9f652a634ceef347c471e7df8ee8e144878e0088956bbfebfba078e,train-00001-of-00002.parquet,737,"[0, 1]",True,False
18936adcd9f652a634ceef347c471e7df8ee8e144878e0088956bbfebfba078e,train-00000-of-00002.parquet,875,"[0, 1]",True,False
18c6aa470bbe24f86acacecc1e97428871f9b76432c2f53861da9686d9fa8844,train-00001-of-00002.parquet,317,[0],True,False
18c6aa470bbe24f86acacecc1e97428871f9b76432c2f53861da9686d9fa8844,train-00001-of-00002.parquet,877,[0],True,False
1ca487e4beafb7a1590dd037d56d33077bc9bdb2c1c42dc4a39282732b39cbb0,train-00000-of-00002.parquet,277,"[1, 1, 0]",True,False
1ca487e4beafb7a1590dd037d56d33077bc9bdb2c1c42dc4a39282732b39cbb0,train-00001-of-00002.parquet,430,"[1, 1, 0]",True,False
2c4d4495a8a0885ce1e8a43b01ccb2ecec3bd1138e44dd4b3195a045e984698a,train-00000-of-00002.parquet,407,"[0, 0]",True,False
2c4d4495a8a0885ce1e8a43b01ccb2ecec3bd1138e44dd4b3195a045e984698a,train-00001-of-00002.parquet,1022,"[0, 0]",True,False
2e4a6986799a01b1e092c559a7cd98f049396a57fbac932821b0897f27d7d198,train-00001-of-00002.parquet,580,"[0, 1, 1, 1]",True,False
2e4a6986799a01b1e092c559a7cd98f049396a57fbac932821b0897f27d7d198,train-00001-of-00002.parquet,801,"[0, 1, 1, 1]",True,False
34b60e33f875d1d0178437a6fc44d12e0765dffbffb7a573b661cab4c5a9a963,train-00001-of-00002.parquet,165,"[0, 1, 1]",True,False
34b60e33f875d1d0178437a6fc44d12e0765dffbffb7a573b661cab4c5a9a963,train-00000-of-00002.parquet,1008,"[0, 1, 1]",True,False
3986484871ab139ba263d372b9fd05a0f670f299c3eb700229232dd16423d192,train-00000-of-00002.parquet,1004,[0],True,False
3986484871ab139ba263d372b9fd05a0f670f299c3eb700229232dd16423d192,train-00000-of-00002.parquet,1024,[0],True,False
3cfc5d27df264ec4daa4fc815f6698c6d989e4a24bb8235da12d1a2351002920,train-00001-of-00002.parquet,55,"[0, 1, 1]",True,False
3cfc5d27df264ec4daa4fc815f6698c6d989e4a24bb8235da12d1a2351002920,train-00000-of-00002.parquet,619,"[0, 1, 1]",True,False
4803770832a4f6236f50b1928e8022a9d557ef73c6c39ed0a6e83d06b59614e9,train-00000-of-00002.parquet,867,[0],True,False
