sample_index,split,event_type
0,test,0
1,test,1
2,train,1
3,validation,0
4,train,0
5,train,0
6,test,0
7,train,0
8,train,0
9,train,0
10,test,0
11,test,1
12,validation,0
13,train,0
14,test,0
15,train,1
16,test,1
17,train,1
18,train,1
19,validation,1
20,train,0
21,train,0
22,validation,0
23,train,0
24,train,1
25,test,1
26,train,1
27,train,1
28,train,1
29,test,1
30,test,0
31,validation,0
32,train,1
33,train,0
34,train,1
35,validation,0
36,validation,0
37,test,0
38,train,0
39,train,0
40,train,0
41,train,0
42,validation,0
43,train,1
44,train,1
45,train,1
46,validation,1
47,test,1
48,train,0
49,test,0
50,train,0
51,train,0
52,train,0
53,train,0
54,train,1
55,validation,0
56,validation,0
57,train,0
58,validation,0
59,validation,0
60,validation,0
61,train,1
62,validation,1
63,train,1
64,test,1
65,train,0
66,train,0
67,train,0
68,test,0
69,validation,1
70,test,1
71,train,0
72,train,1
73,train,1
74,train,1
75,train,1
76,train,1
77,train,0
78,train,1
79,train,0
80,train,0
81,test,1
82,train,0
83,train,0
84,train,0
85,train,1
86,train,1
87,train,1
88,train,0
89,train,0
90,test,1
91,test,0
92,train,0
93,train,0
94,train,0
95,train,0
96,test,0
97,train,0
98,train,0
99,test,0
100,train,1
101,test,0
102,validation,0
103,train,0
104,train,1
105,train,0
106,train,0
107,train,0
108,train,0
109,validation,0
110,train,0
111,train,1
112,train,1
113,train,1
114,train,1
115,train,0
116,train,1
117,train,0
118,train,0
119,train,0
120,train,1
121,train,1
122,train,1
123,train,1
124,train,1
125,test,1
126,test,0
127,test,0
128,train,0
129,train,0
130,train,0
131,test,0
132,train,1
133,train,0
134,train,1
135,train,0
136,train,1
137,test,0
138,train,0
139,train,0
140,train,0
141,train,1
142,train,1
143,train,1
144,train,0
145,validation,0
146,train,0
147,validation,0
148,train,1
149,train,1
150,train,1
151,train,1
152,train,0
153,test,0
154,test,1
155,validation,0
156,train,1
157,test,1
158,test,0
159,train,0
160,train,0
161,train,0
162,test,0
163,validation,1
164,train,0
165,train,0
166,train,0
167,train,0
168,train,1
169,train,1
170,train,0
171,train,0
172,validation,1
173,train,1
174,train,0
175,train,0
176,train,1
177,train,0
178,train,0
179,test,0
180,train,1
181,train,0
182,validation,0
183,train,0
184,test,0
185,train,0
186,validation,1
187,train,0
188,train,0
189,train,0
190,validation,0
191,train,0
192,test,0
193,train,0
194,train,0
195,test,0
196,train,0
197,train,0
198,train,0
199,train,0
200,test,0
201,train,0
202,train,0
203,test,0
204,train,0
205,test,0
206,train,1
207,train,0
208,train,1
209,train,1
210,validation,0
211,train,0
212,train,0
213,test,0
214,train,0
215,test,1
216,train,1
217,train,1
218,train,1
219,train,0
220,train,0
221,train,0
222,train,0
223,validation,0
224,train,0
225,test,0
226,train,1
227,test,0
228,train,0
229,train,0
230,test,0
231,validation,0
232,validation,0
233,test,0
234,test,0
235,validation,0
236,train,0
237,train,0
238,test,0
239,train,0
240,test,1
241,validation,0
242,validation,0
243,train,1
244,validation,0
245,test,1
246,train,0
247,validation,1
248,train,0
249,train,0
250,test,0
251,test,0
252,train,0
253,train,0
254,train,1
255,train,1
256,train,1
257,validation,1
258,train,0
259,test,1
260,train,0
261,train,1
262,train,0
263,train,1
264,train,1
265,train,1
266,test,0
267,train,1
268,train,0
269,train,1
270,train,1
271,train,0
272,test,1
273,train,0
274,test,0
275,train,0
276,train,0
277,train,0
278,train,0
279,train,0
280,train,0
281,validation,0
282,train,1
283,train,1
284,train,1
285,train,1
286,train,1
287,train,0
288,train,0
289,train,0
290,train,0
291,train,1
292,train,0
293,validation,0
294,train,1
295,train,0
296,train,0
297,train,0
298,train,0
299,train,0
300,train,0
301,train,0
302,test,0
303,train,0
304,train,0
305,train,0
306,train,0
307,validation,0
308,train,0
309,validation,0
310,train,0
311,test,0
312,validation,0
313,train,0
314,train,1
315,train,0
316,train,0
317,train,1
318,train,0
319,train,0
320,train,0
321,validation,1
322,validation,1
323,train,1
324,test,1
325,train,0
326,train,0
327,test,0
328,test,0
329,train,0
330,test,0
331,train,0
332,train,1
333,train,0
334,train,0
335,train,1
336,train,1
337,test,1
338,validation,0
339,train,1
340,train,1
341,validation,1
342,train,1
343,train,0
344,train,0
345,train,0
346,train,0
347,train,0
348,train,0
349,test,0
350,validation,1
351,train,1
352,train,0
353,train,0
354,train,0
355,test,0
356,train,0
357,train,0
358,test,1
359,train,1
360,train,1
361,train,0
362,train,0
363,validation,1
364,train,1
365,train,0
366,train,0
367,test,0
368,train,0
369,train,0
370,train,0
371,validation,0
372,train,1
373,train,1
374,train,1
375,validation,0
376,train,0
377,test,1
378,train,0
379,validation,0
380,validation,1
381,train,1
382,train,0
383,train,0
384,validation,0
385,test,1
386,validation,0
387,train,0
388,validation,0
389,train,0
390,validation,0
391,train,0
392,train,0
393,train,0
394,validation,1
395,train,0
396,validation,0
397,train,1
398,test,0
399,validation,0
400,train,0
401,train,0
402,test,0
403,validation,0
404,validation,0
405,train,1
406,train,0
407,validation,1
408,train,1
409,train,0
410,train,0
411,train,0
412,train,0
413,train,0
414,train,0
415,train,0
416,train,0
417,validation,0
418,train,0
419,train,0
420,train,0
421,train,1
422,train,1
423,train,1
424,test,1
425,train,0
426,validation,0
427,train,0
428,train,0
429,train,0
430,validation,1
431,test,0
432,train,1
433,train,0
434,train,0
435,validation,1
436,train,0
437,train,0
438,test,0
439,train,0
440,validation,0
441,train,0
442,train,0
443,train,0
444,train,0
445,train,0
446,validation,0
447,train,1
448,train,0
449,train,0
450,validation,0
451,train,0
452,validation,1
453,train,0
454,train,0
455,validation,1
456,train,0
457,train,0
458,train,0
459,train,0
460,train,1
461,train,1
462,train,0
463,train,0
464,train,1
465,validation,0
466,train,0
467,validation,0
468,train,0
469,test,0
470,train,0
471,train,0
472,train,1
473,train,0
474,train,0
475,train,0
476,train,0
477,train,0
478,train,0
479,train,0
480,validation,1
481,train,0
482,test,1
483,train,0
484,train,0
485,train,0
486,train,1
487,train,1
488,train,0
489,train,0
490,train,0
491,train,0
492,test,0
493,train,0
494,validation,0
495,train,0
496,train,0
497,test,0
498,train,0
499,train,0
500,validation,0
501,train,0
502,validation,1
503,test,0
504,train,1
505,test,1
506,train,0
507,validation,0
508,train,0
509,train,0
510,train,0
511,train,0
512,test,1
513,train,0
514,train,1
515,train,0
516,train,0
517,train,0
518,validation,0
519,validation,0
520,train,0
521,test,0
522,train,0
523,train,0
524,train,0
