model,feature,importance
random_forest_A,num__FE_log_mesafe,0.14457
random_forest_A,num__target_dist_px,0.14375
random_forest_A,num__min_dist_dual_check_m,0.1341
random_forest_A,num__FE_dist_squared,0.12899
random_forest_A,num__angle_degrees,0.08382
random_forest_A,num__PET,0.08187
random_forest_A,num__FE_inv_PET,0.08032
random_forest_A,num__object_count_at_frame1,0.04747
random_forest_A,num__speed_object_2_kph,0.04305
random_forest_A,num__speed_object_1_kph,0.03745
random_forest_A,num__acceleration_obj2_mps2,0.01369
random_forest_A,cat__class_object_1_VRU,0.01101
random_forest_A,cat__class_object_2_Car,0.00963
random_forest_A,cat__class_object_2_VRU,0.00962
random_forest_A,num__acceleration_obj1_mps2,0.00945
random_forest_A,cat__class_object_1_Car,0.00779
random_forest_A,cat__class_object_2_Ped,0.00654
random_forest_A,cat__class_object_1_Ped,0.00514
random_forest_A,cat__class_object_1_LCV,0.00092
random_forest_A,cat__class_object_2_LCV,0.00081
random_forest_A,cat__class_object_1_HCV,0.0
logistic_regression_A,num__min_dist_dual_check_m,-1.7668
logistic_regression_A,cat__class_object_2_LCV,-1.34358
logistic_regression_A,cat__class_object_1_Ped,-0.81798
logistic_regression_A,num__FE_log_mesafe,-0.77968
logistic_regression_A,cat__class_object_2_VRU,0.69464
logistic_regression_A,cat__class_object_1_HCV,0.67701
logistic_regression_A,num__FE_dist_squared,0.6415
logistic_regression_A,num__PET,-0.48985
logistic_regression_A,cat__class_object_1_VRU,0.4608
logistic_regression_A,num__speed_object_2_kph,-0.42981
logistic_regression_A,num__FE_inv_PET,0.41824
logistic_regression_A,num__speed_object_1_kph,-0.39082
logistic_regression_A,num__target_dist_px,0.38732
logistic_regression_A,cat__class_object_1_Car,-0.28642
logistic_regression_A,cat__class_object_2_Car,0.2659
logistic_regression_A,cat__class_object_1_LCV,-0.26539
logistic_regression_A,num__angle_degrees,0.25986
logistic_regression_A,num__object_count_at_frame1,0.20181
logistic_regression_A,cat__class_object_2_Ped,0.15105
logistic_regression_A,num__acceleration_obj2_mps2,0.04358
logistic_regression_A,num__acceleration_obj1_mps2,0.03155
