run,config,model,n_features,seed,train_accuracy,train_precision_class1,train_recall_class1,train_f1_class1,train_roc_auc,train_pr_auc,train_FNR,train_FN,validation_accuracy,validation_precision_class1,validation_recall_class1,validation_f1_class1,validation_roc_auc,validation_pr_auc,validation_FNR,validation_FN,test_accuracy,test_precision_class1,test_recall_class1,test_f1_class1,test_roc_auc,test_pr_auc,test_FNR,test_FN
dummy_baseline,A_offline_full_no_fesafety,DummyClassifier,14,42,0.7443052391799544,0.0,0.0,0.0,0.5,0.25569476082004555,1.0,449,0.7446808510638298,0.0,0.0,0.0,0.5,0.2553191489361702,1.0,96,0.7446808510638298,0.0,0.0,0.0,0.5,0.2553191489361702,1.0,96
logistic_regression_A,A_offline_full_no_fesafety,LogisticRegression,14,42,0.8149202733485194,0.6006493506493507,0.8240534521158129,0.6948356807511737,0.9087404978844427,0.81250617196125,0.1759465478841871,79,0.824468085106383,0.6102941176470589,0.8645833333333334,0.7155172413793104,0.9164434523809524,0.8453899619126206,0.13541666666666666,13,0.8058510638297872,0.5864661654135338,0.8125,0.6812227074235808,0.9123883928571428,0.8176314140426966,0.1875,18
logistic_regression_B,B_offline_full_with_fesafety,LogisticRegression,15,42,0.8171981776765376,0.6049180327868853,0.821826280623608,0.6968838526912181,0.9093471337308275,0.8137821043510878,0.17817371937639198,80,0.8218085106382979,0.6074074074074074,0.8541666666666666,0.70995670995671,0.9121279761904761,0.8386682212651068,0.14583333333333334,14,0.8085106382978723,0.5895522388059702,0.8229166666666666,0.6869565217391305,0.9130952380952381,0.8131803499208917,0.17708333333333334,17
logistic_regression_D,D_deployment_realistic,LogisticRegression,12,42,0.7864464692482915,0.5544117647058824,0.8396436525612472,0.6678476527900797,0.8956330739226677,0.7719349518439342,0.1603563474387528,72,0.7925531914893617,0.56,0.875,0.6829268292682927,0.8975074404761904,0.7728975143189344,0.125,12,0.7898936170212766,0.5594405594405595,0.8333333333333334,0.6694560669456067,0.8977306547619048,0.773352927953135,0.16666666666666666,16
random_forest_A,A_offline_full_no_fesafety,RandomForestClassifier,14,42,0.9732346241457859,0.905241935483871,1.0,0.9502645502645503,0.999575695714186,0.998780854096649,0.0,0,0.8856382978723404,0.7623762376237624,0.8020833333333334,0.7817258883248731,0.9305059523809525,0.853968533023022,0.19791666666666666,19,0.8670212765957447,0.7129629629629629,0.8020833333333334,0.7549019607843137,0.929017857142857,0.8304048406571906,0.19791666666666666,19
random_forest_B,B_offline_full_with_fesafety,RandomForestClassifier,15,42,0.974373576309795,0.9089068825910931,1.0,0.9522799575821845,0.9995416150486587,0.9986832836111935,0.0,0,0.8829787234042553,0.7549019607843137,0.8020833333333334,0.7777777777777778,0.9314732142857143,0.8520074935983745,0.19791666666666666,19,0.8617021276595744,0.6929824561403509,0.8229166666666666,0.7523809523809524,0.9295014880952381,0.8349571600134703,0.17708333333333334,17
random_forest_D,D_deployment_realistic,RandomForestClassifier,12,42,0.9658314350797267,0.8821218074656189,1.0,0.9373695198329853,0.9988429614053502,0.9965911758475137,0.0,0,0.8590425531914894,0.7047619047619048,0.7708333333333334,0.736318407960199,0.9141741071428571,0.7900970116475117,0.22916666666666666,22,0.8537234042553191,0.6880733944954128,0.78125,0.7317073170731707,0.9116443452380952,0.7774033753958709,0.21875,21
gradient_boosting_A,A_offline_full_no_fesafety,GradientBoostingClassifier,14,42,0.9037585421412301,0.7554744525547445,0.9220489977728286,0.8304914744232698,0.974845912790985,0.9358770253787354,0.0779510022271715,35,0.8377659574468085,0.6495726495726496,0.7916666666666666,0.7136150234741784,0.9228794642857143,0.8231534501778349,0.20833333333333334,20,0.8457446808510638,0.6610169491525424,0.8125,0.7289719626168224,0.9156994047619048,0.8358903428251848,0.1875,18
gradient_boosting_B,B_offline_full_with_fesafety,GradientBoostingClassifier,15,42,0.9048974943052391,0.7591911764705882,0.9198218262806236,0.8318227593152064,0.9749822354530938,0.9363895376287795,0.0801781737193764,36,0.8377659574468085,0.6521739130434783,0.78125,0.7109004739336493,0.9223586309523809,0.8234856869483691,0.21875,21,0.8404255319148937,0.65,0.8125,0.7222222222222222,0.9170758928571429,0.8390827075684131,0.1875,18
gradient_boosting_D,D_deployment_realistic,GradientBoostingClassifier,12,42,0.8917995444191344,0.7402597402597403,0.888641425389755,0.8076923076923077,0.963923911506144,0.9035516406915655,0.111358574610245,50,0.8404255319148937,0.6666666666666666,0.75,0.7058823529411765,0.9063058035714285,0.7657069631503437,0.25,24,0.8430851063829787,0.6554621848739496,0.8125,0.7255813953488373,0.9008370535714285,0.748869191287238,0.1875,18
