model,feature_configuration,split,n_features,roc_auc,pr_auc,f1,precision,recall,TP,TN,FP,FN,FNR,FPR
dummy_baseline,A_offline_full_no_fesafety,validation,14,0.5,0.25532,0.0,0.0,0.0,0,280,0,96,1.0,0.0
dummy_baseline,A_offline_full_no_fesafety,test,14,0.5,0.25532,0.0,0.0,0.0,0,280,0,96,1.0,0.0
gradient_boosting_A,A_offline_full_no_fesafety,validation,14,0.92288,0.82315,0.71362,0.64957,0.79167,76,239,41,20,0.20833,0.14643
gradient_boosting_A,A_offline_full_no_fesafety,test,14,0.9157,0.83589,0.72897,0.66102,0.8125,78,240,40,18,0.1875,0.14286
gradient_boosting_B,B_offline_full_with_fesafety,validation,15,0.92236,0.82349,0.7109,0.65217,0.78125,75,240,40,21,0.21875,0.14286
gradient_boosting_B,B_offline_full_with_fesafety,test,15,0.91708,0.83908,0.72222,0.65,0.8125,78,238,42,18,0.1875,0.15
gradient_boosting_D,D_deployment_realistic,validation,12,0.90631,0.76571,0.70588,0.66667,0.75,72,244,36,24,0.25,0.12857
gradient_boosting_D,D_deployment_realistic,test,12,0.90084,0.74887,0.72558,0.65546,0.8125,78,239,41,18,0.1875,0.14643
logistic_regression_A,A_offline_full_no_fesafety,validation,14,0.91644,0.84539,0.71552,0.61029,0.86458,83,227,53,13,0.13542,0.18929
logistic_regression_A,A_offline_full_no_fesafety,test,14,0.91239,0.81763,0.68122,0.58647,0.8125,78,225,55,18,0.1875,0.19643
logistic_regression_B,B_offline_full_with_fesafety,validation,15,0.91213,0.83867,0.70996,0.60741,0.85417,82,227,53,14,0.14583,0.18929
logistic_regression_B,B_offline_full_with_fesafety,test,15,0.9131,0.81318,0.68696,0.58955,0.82292,79,225,55,17,0.17708,0.19643
logistic_regression_D,D_deployment_realistic,validation,12,0.89751,0.7729,0.68293,0.56,0.875,84,214,66,12,0.125,0.23571
logistic_regression_D,D_deployment_realistic,test,12,0.89773,0.77335,0.66946,0.55944,0.83333,80,217,63,16,0.16667,0.225
random_forest_A,A_offline_full_no_fesafety,validation,14,0.93051,0.85397,0.78173,0.76238,0.80208,77,256,24,19,0.19792,0.08571
random_forest_A,A_offline_full_no_fesafety,test,14,0.92902,0.8304,0.7549,0.71296,0.80208,77,249,31,19,0.19792,0.11071
random_forest_B,B_offline_full_with_fesafety,validation,15,0.93147,0.85201,0.77778,0.7549,0.80208,77,255,25,19,0.19792,0.08929
random_forest_B,B_offline_full_with_fesafety,test,15,0.9295,0.83496,0.75238,0.69298,0.82292,79,245,35,17,0.17708,0.125
random_forest_D,D_deployment_realistic,validation,12,0.91417,0.7901,0.73632,0.70476,0.77083,74,249,31,22,0.22917,0.11071
random_forest_D,D_deployment_realistic,test,12,0.91164,0.7774,0.73171,0.68807,0.78125,75,246,34,21,0.21875,0.12143
