model,threshold,precision,recall,f1,false_positives,false_negatives
random_forest_A,0.05,0.338,1.0,0.5053,188,0
random_forest_A,0.1,0.3887,1.0,0.5598,151,0
random_forest_A,0.2,0.4667,0.9479,0.6254,104,5
random_forest_A,0.3,0.5686,0.9062,0.6988,66,9
random_forest_A,0.4,0.6748,0.8646,0.758,40,13
random_forest_A,0.5,0.7624,0.8021,0.7817,24,19
random_forest_A,0.6,0.7826,0.75,0.766,20,24
random_forest_A,0.7,0.8158,0.6458,0.7209,14,34
random_forest_A,0.8,0.8689,0.5521,0.6752,8,43
random_forest_A,0.9,0.9512,0.4062,0.5693,2,57
logistic_regression_A,0.05,0.3254,1.0,0.491,199,0
logistic_regression_A,0.1,0.3633,0.9688,0.5284,163,3
logistic_regression_A,0.2,0.4218,0.9271,0.5798,122,7
logistic_regression_A,0.3,0.4944,0.9167,0.6423,90,8
logistic_regression_A,0.4,0.5449,0.8854,0.6746,71,11
logistic_regression_A,0.5,0.6103,0.8646,0.7155,53,13
logistic_regression_A,0.6,0.6842,0.8125,0.7429,36,18
logistic_regression_A,0.7,0.766,0.75,0.7579,22,24
logistic_regression_A,0.8,0.8514,0.6562,0.7412,11,33
logistic_regression_A,0.9,0.9184,0.4688,0.6207,4,51
