split,threshold,precision,recall,f1,FPR,FNR,TP,TN,FP,FN
validation,0.1,0.46632,0.9375,0.62284,0.36786,0.0625,90,177,103,6
validation,0.15,0.56863,0.90625,0.6988,0.23571,0.09375,87,214,66,9
validation,0.2,0.64615,0.875,0.74336,0.16429,0.125,84,234,46,12
validation,0.25,0.69492,0.85417,0.76636,0.12857,0.14583,82,244,36,14
validation,0.3,0.73585,0.8125,0.77228,0.1,0.1875,78,252,28,18
validation,0.35,0.76531,0.78125,0.7732,0.08214,0.21875,75,257,23,21
validation,0.4,0.78261,0.75,0.76596,0.07143,0.25,72,260,20,24
validation,0.45,0.78261,0.75,0.76596,0.07143,0.25,72,260,20,24
validation,0.5,0.78652,0.72917,0.75676,0.06786,0.27083,70,261,19,26
validation,0.55,0.81579,0.64583,0.72093,0.05,0.35417,62,266,14,34
validation,0.6,0.82432,0.63542,0.71765,0.04643,0.36458,61,267,13,35
validation,0.65,0.85294,0.60417,0.70732,0.03571,0.39583,58,270,10,38
validation,0.7,0.86667,0.54167,0.66667,0.02857,0.45833,52,272,8,44
validation,0.75,0.90385,0.48958,0.63514,0.01786,0.51042,47,275,5,49
validation,0.8,1.0,0.35417,0.52308,0.0,0.64583,34,280,0,62
validation,0.85,1.0,0.03125,0.06061,0.0,0.96875,3,280,0,93
validation,0.9,0.0,0.0,0.0,0.0,1.0,0,280,0,96
test,0.1,0.46429,0.94792,0.62329,0.375,0.05208,91,175,105,5
test,0.15,0.53892,0.9375,0.68441,0.275,0.0625,90,203,77,6
test,0.2,0.58503,0.89583,0.70782,0.21786,0.10417,86,219,61,10
test,0.25,0.63846,0.86458,0.73451,0.16786,0.13542,83,233,47,13
test,0.3,0.67797,0.83333,0.74766,0.13571,0.16667,80,242,38,16
test,0.35,0.71698,0.79167,0.75248,0.10714,0.20833,76,250,30,20
test,0.4,0.74,0.77083,0.7551,0.09286,0.22917,74,254,26,22
test,0.45,0.76923,0.72917,0.74866,0.075,0.27083,70,259,21,26
test,0.5,0.80488,0.6875,0.74157,0.05714,0.3125,66,264,16,30
test,0.55,0.83333,0.67708,0.74713,0.04643,0.32292,65,267,13,31
test,0.6,0.84058,0.60417,0.70303,0.03929,0.39583,58,269,11,38
test,0.65,0.88525,0.5625,0.6879,0.025,0.4375,54,273,7,42
test,0.7,0.92453,0.51042,0.65772,0.01429,0.48958,49,276,4,47
test,0.75,0.91304,0.4375,0.59155,0.01429,0.5625,42,276,4,54
test,0.8,0.93548,0.30208,0.45669,0.00714,0.69792,29,278,2,67
test,0.85,0.0,0.0,0.0,0.0,1.0,0,280,0,96
test,0.9,0.0,0.0,0.0,0.0,1.0,0,280,0,96
