controller,seed,status,started_at,average_waiting_time,total_waiting_time,maximum_waiting_time,average_queue_length,maximum_queue_length,throughput,average_travel_time,total_travel_time,number_of_stops,fuel_consumption_mg,co2_emissions_mg,total_distance_m,completed_vehicles,measurement_samples
fixed_time,1,success,2026-09-05T18:55:37Z,36.629629629629626,989.0,61.0,18.79,71,27,146.92592592592592,3967.0,167,6702.206548530417,20673.792290323145,59.86511099449987,27,200
density_based,1,success,2026-09-05T18:55:41Z,3.2967032967032965,300.0,16.0,1.376923076923077,9,91,95.56043956043956,8696.0,74,7563.257889075086,23329.91354706238,113.48956250441246,91,260
predictive_adaptive,1,success,2026-09-05T18:55:46Z,3.741573033707865,333.0,17.0,1.8415094339622642,11,89,95.21348314606742,8474.0,91,7652.580053916177,23605.425606258872,114.57113914579554,89,265
integrated_ai,1,success,2026-09-05T18:55:54Z,3.2637362637362637,297.0,16.0,1.3,13,91,94.56043956043956,8605.0,68,7506.144355070162,23153.734673995663,113.46899063800858,91,260
fixed_time,2,success,2026-09-05T18:56:02Z,35.964285714285715,1007.0,61.0,18.08,71,28,147.10714285714286,4119.0,166,6656.661114643238,20533.30289798986,61.15137529931451,28,200
density_based,2,success,2026-09-05T18:56:06Z,2.881720430107527,268.0,16.0,1.2307692307692308,8,93,93.3225806451613,8679.0,67,7402.148583192389,22832.93951138808,113.13378568335652,93,260
predictive_adaptive,2,success,2026-09-05T18:56:11Z,4.933333333333334,444.0,19.0,2.1056603773584905,11,90,98.21111111111111,8839.0,102,7908.181430937554,24393.87575704546,114.23294705359469,90,265
integrated_ai,2,success,2026-09-05T18:56:19Z,3.3260869565217392,306.0,18.0,1.5269230769230768,12,92,93.68478260869566,8619.0,76,7470.821406034738,23044.77378165044,112.23925634683728,92,260
fixed_time,3,success,2026-09-05T18:56:27Z,38.0,1026.0,63.0,18.665,68,27,149.03703703703704,4024.0,165,6728.375618719192,20754.521876867915,60.96117988437176,27,200
density_based,3,success,2026-09-05T18:56:31Z,3.3225806451612905,309.0,17.0,1.4076923076923078,7,93,93.54838709677419,8700.0,80,7434.404254531642,22932.442051699236,111.47537084891736,93,260
predictive_adaptive,3,success,2026-09-05T18:56:36Z,3.6179775280898876,322.0,14.0,1.4980842911877394,10,89,93.82022471910112,8350.0,76,7462.58544041461,23019.367622666836,112.2400964433428,89,261
integrated_ai,3,success,2026-09-05T18:56:44Z,3.6263736263736264,330.0,19.0,1.5384615384615385,10,91,93.32967032967034,8493.0,78,7354.4310997996445,22685.752064597353,111.05840846070747,91,260
